,amazon_tweets
90,#FastestMonster @amazonIN @SamsungIndia #SamsungM42 My Favorite Feature in the All New Samsung Galaxy M42 5G is the… https://t.co/Gio84BMsb7
91,"#AmazonFunzoneSlots 
@AmazonHelp @amazonIN I have entered the lucky draw https://t.co/PsrUtW7SB6"
92,The @MoHFW_INDIA should have assigned the maintenance of the ArogyaSetu servers to @Flipkart &amp; @amazonIN. They woul… https://t.co/DEcSZAtnzf
93,Lets get the hands to this monster #FastestMonster @amazonIN  @SamsungIndia  #SamsungM42 https://t.co/Sgzng6aVvp
94,"Thanks for this quiz @amazonIN 

#GalaxyM42Quiz https://t.co/XmTGVWaaQS"
95,"There is a new fraud in the name of Amazon India

@amazon @amazonIN - please issue warning to users.… https://t.co/nyiSHXjHAX"
96,"Speed matters the most ⚡
#FastestMonster  @amazonIN @SamsungIndia #SamsungM42 https://t.co/PUb5xgw1hY"
97,"#SimbaCapeman wishes you #HappySuperHeroDay.

Who is your Superhero? Comment below.

ORDER YOUR COPY TODAY!… https://t.co/rWc6SHaAHD"
98,My Favourite Feature #SamsungM42 is Snapdragon 750 5G Processor #FastestMonster @amazonIN @SamsungIndia https://t.co/4dPrAZvL8E
99,"Buy #TheMakingofHero and #HerokiKahani on @amazonIN and @Flipkart 
.
.
.
#KeepReading #BusinessBook https://t.co/qzfQJw2gtH"
100,"Snapdragon 750G processor under Rs. 25,000 oh yeah #FastestMonster  @amazonIN @SamsungIndia #SamsungM42 https://t.co/5lDUVkpwef"
101,"Timeless story about friendships, families, values &amp; relationships which deserves to be told and retold because the… https://t.co/4HfQYeFq5I"
102,Rumors are rife @amazon is coming to #Africa n they will leverage its experience of @amazonIN to navigate the uniqu… https://t.co/uT5270sIeV
103,"#SamsungGalaxyM42 Launched in India with Snapdragon 750G SoC, 48MP Quad Rear Camera, sAMOLED Display, and more!… https://t.co/jS1ACrOruP"
104,".@SamsungIndia launched GalaxyM42 5G in India
Display - 6.6’’ HD+ Super AMOLED Infinity-U
Snapdragon 750G octacore… https://t.co/GfD3bjNA76"
105,"Loved all the features along with price, still i think 5g is one of the most attractive features among them and sam… https://t.co/JZsfaYvyra"
106,HELLO @amazonIN @AmazonHelp Clearly seen in that invoice I have ordered BLACK colour mobile but they giving me blue… https://t.co/rytrney6yE
107,"Dear @amazonIN 
You’ve sent me the wrong product and your call center is unable to get through 

How can I get a re… https://t.co/NX4I2ZPK4e"
108,"Today it has been an entire 8 days, seeking help from Amazon Customer Service, but I have not received any response… https://t.co/TPmA5C7dR9"
109,"Amazon Quiz Contest Answers For April, 28 2021 @amazonIN
https://t.co/MDDnp5DtFb"
110,Without prime membership no customer is valued by the Amazon @amazonIN
111,"Overall a perfect mid range phone, with best octa core processor and also Quad camera 48mp and Knox security great… https://t.co/2g1sXFLrGG"
112,"Ordered for steam inhaler, received face shield. Unable to exchange/return through the App. Please help @amazonIN @AmazonHelp"
113,This time accurate price so I likeed it and this safety security features is my favourite of this phone… https://t.co/o9k6k2lp7D
114,"#FastestMonster 
@amazonIN 
@SamsungIndia 
#SamsungM42 
I like altz life feature a lot , I thought this mobule pric… https://t.co/g1G5dm2k3A"
115,"Amazon to airlift 10,000 oxygen concentrators and BiPAP machines into India https://t.co/nkIGe3FJhn  via @Ta_rush… https://t.co/iJO4hidsQd"
116,This is horrible @amazonIN https://t.co/1sSFwgiZB6
